isbn,booktitle,bookauthor,yearofpublication,publisher
440234743,The Testament,John Grisham,1999,Dell
971880107,Wild Animus,Rich Shapero,2004,Too Far
345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
60976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group
60938455,Fast Food Nation: The Dark Side of the AllAmerican Meal,Eric Schlosser,2002,Perennial
446672211,Where the Heart Is (Oprah s Book Club (Paperback)),Billie Letts,1998,Warner Books
142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
60928336,Divine Secrets of the YaYa Sisterhood: A Novel,Rebecca Wells,1997,Perennial
671003755,She s Come Undone (Oprah s Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
380789019,Neverwhere,Neil Gaiman,1998,Avon
385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta
446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision
60930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial
345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books
60934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial
375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage
375707972,The Reader,Bernhard Schlink,1999,Vintage Books USA
553572997,The Alienist,Caleb Carr,1995,Bantam Books
385486804,Into the Wild,Jon Krakauer,1997,Anchor
440236673,The Brethren,John Grisham,2000,Island
446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision
067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA
449212602,The Handmaid s Tale,Margaret Atwood,1989,Fawcett Books
451524934,1984,George Orwell,1990,Signet Book
345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey
385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life s Greatest Lesson",MITCH ALBOM,1997,Doubleday
345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books
446605239,The Notebook,Nicholas Sparks,1998,Warner Books
590353403,Harry Potter and the Sorcerer s Stone (Book 1),J. K. Rowling,1998,Scholastic
684874350,ANGELA S ASHES,Frank McCourt,1996,Scribner
312305060,The Hours: A Novel,Michael Cunningham,2002,Picador
679746048,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage
1558743669,"A Child Called \""It\"": One Child s Courage to Survive",Dave Pelzer,1995,Health Communications
440221471,The Runaway Jury,JOHN GRISHAM,1997,Dell
439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic
60959037,Prodigal Summer: A Novel,Barbara Kingsolver,2001,Perennial
014028009X,Bridget Jones s Diary,Helen Fielding,1999,Penguin Books
452282829,We Were the Mulvaneys,Joyce Carol Oates,1996,Plume
385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor
446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books
440241073,The Summons,John Grisham,2002,Dell Publishing Company
804114986,The Bonesetter s Daughter,Amy Tan,2002,Ballantine Books
439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic
439139600,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002,Scholastic Paperbacks
449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K12)
316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
60987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books
316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
375726403,Empire Falls,Richard Russo,2002,Vintage Books USA
671021001,She s Come Undone (Oprah s Book Club),Wally Lamb,1998,Pocket
805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books
842329129,Left Behind: A Novel of the Earth s Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers
60915544,The Bean Trees,Barbara Kingsolver,1989,Perennial
312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin s Press
156027321,Life of Pi,Yann Martel,2003,Harvest Books
345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books
61009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
140293248,The Girls  Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books
316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
440211727,A Time to Kill,JOHN GRISHAM,1992,Dell
743237188,Fall On Your Knees (Oprah #45),AnnMarie MacDonald,2002,Touchstone
380789035,American Gods,Neil Gaiman,2002,HarperTorch
440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company
345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books
1400034779,The No. 1 Ladies  Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor
767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books
743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press
375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA
345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey
440226430,Summer Sisters,Judy Blume,1999,Dell Publishing Company
440224764,The Partner,John Grisham,1998,Dell Publishing Company
385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor
316569321,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown"
059035342X,Harry Potter and the Sorcerer s Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
812550706,Ender s Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books
345353145,Sphere,MICHAEL CRICHTON,1988,Ballantine Books
440214041,The Pelican Brief,John Grisham,1993,Dell
60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002,Regan Books
312291639,The Nanny Diaries: A Novel,Emma McLaughlin,2003,St. Martin s Griffin
375706771,Midwives: A Novel,Chris Bohjalian,1998,Vintage
60502258,The Divine Secrets of the YaYa Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch
345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey
068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone
440213525,The Client,John Grisham,1994,Dell Publishing Company
439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic
316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books
044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books
316284955,White Oleander : A Novel (Oprah s Book Club),Janet Fitch,2000,Back Bay Books
375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books
312924585,Silence of the Lambs,Thomas Harris,1991,St. Martin s Press
684872153,Angela s Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner
316601950,The Pilot s Wife : A Novel,Anita Shreve,1999,Back Bay Books
439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic
439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
440220602,The Chamber,John Grisham,1995,Dell Publishing Company
671001795,Two for the Dough,Janet Evanovich,1996,Pocket
440222656,The Horse Whisperer,Nicholas Evans,1996,Dell
